 1000 1653.12 14.1025
 2000 2724.76 20.7809
 3000 3733.85 26.3642
 4000 4721.4 31.7123
 5000 5693.65 36.8964
 6000 6657.41 41.9401
 7000 7611.63 46.9106
 8000 8560.39 51.8234
 9000 9502.74 56.6666
 10000 10443.4 61.4313
 10000 10449.9 61.1418
 20000 19709.2 107.405
 30000 28888.2 151.367
 40000 38032.8 193.51
 50000 47166.4 234.378
 60000 56288.9 274.142
 70000 65415.5 314.202
 80000 74509.6 353.149
 90000 83617.2 390.076
 100000 92718.1 427.318
 100000 92681.3 420.251
 200000 183402 774.545
 300000 274048 1081.1
 400000 364431 1376.74
 500000 455048 1651.26
 600000 545650 1866.21
 700000 636424 2091.45
 800000 727202 2318.75
 900000 817728 2562.27
 1e+06 907869 2803.76
 1e+06 908007 2968.44
 2e+06 1.80823e+06 5229.4
 3e+06 2.72612e+06 7214.54
 4e+06 3.64021e+06 9285.43
 5e+06 4.55962e+06 10970.4
 6e+06 5.47756e+06 11893.9
 7e+06 6.40611e+06 12846.4
 8e+06 7.3237e+06 13862.3
 9e+06 8.24433e+06 13248.8
 1e+07 9.15735e+06 12158
 1e+07 9.01914e+06 23570.7
 2e+07 1.81601e+07 44421.1
